Full_Name,Abbreviation
PC,PC
PlayStation 2,PS2
Xbox 360,X360
Wii,Wii
PlayStation 3,PS3
Nintendo DS,DS
PlayStation,PS
Wireless,
iPhone,
Xbox,XB
PlayStation Portable,PSP
Game Boy Advance,GBA
GameCube,GC
Game Boy Color,
Nintendo 64,N64
Dreamcast,DC
PlayStation 4,PS4
Nintendo Dsi,
Nintendo 3DS,3DS
Xbox One,XOne
PlayStation Vita,PSV
Wii U,WiiU
iPad,
Lynx,
Macintosh,
Genesis,GEN
NES,NES
TurboGrafx-16,TG16
Android,
Super NES,SNES
NeoGeo Pocket Color,
N-Gage,
Game Boy,GB
iPod,
Sega 32X,
Windows Phone,
Master System,
Arcade,
NeoGeo,NG
Linux,
Nintendo 64DD,
Commodore 64/128,
Saturn,SAT
Atari 2600,2600
WonderSwan,WS
TurboGrafx-CD,
Game.Com,
New Nintendo 3DS,
Atari 5200,
Vectrex,
WonderSwan Color,
Web Games,
Dreamcast VMU,
Ouya,
DVD / HD Video Game,
SteamOS,
Pocket PC,
Windows Surface,
Sega CD,SCD
